name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions,avgShortPrice,avgLongPrice
2023-08-14 23:10:17,EURO50,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,TRYJPY,0,100,0.02,5.83,10,1,11,47.486,49.5919
2023-08-14 23:10:17,US500,100,0,1.1,0,0,2,2,3086,0
2023-08-14 23:10:17,GBPPLN,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,WHEAT,0,100,0,0.01,1,0,1,0,509
2023-08-14 23:10:17,COCOA,100,0,0.05,0,0,1,1,2474,0
2023-08-14 23:10:17,UK100,100,0,1.36,0,0,6,6,5908.5,0
2023-08-14 23:10:17,XAUGBP,50,50,4.15,4.09,25,16,41,1511.2288,1515.5888
2023-08-14 23:10:17,COTTON,0,100,0,0.03,3,0,3,0,63.6233
2023-08-14 23:10:17,NOKJPY,63,37,1.79,1.04,8,19,27,13.6216,14.0373
2023-08-14 23:10:17,SP500,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,ZARJPY,0,100,0,17.2,73,0,73,0,8.0023
2023-08-14 23:10:17,HKDJPY,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,CHFNOK,50,50,0.02,0.02,1,1,2,6.8991,6.9784
2023-08-14 23:10:17,GBPTRY,100,0,0.01,0,0,1,1,34.4813,0
2023-08-14 23:10:17,USDRUB,100,0,0.01,0,0,1,1,89.577,0
2023-08-14 23:10:17,SEKJPY,55,45,1.74,1.44,9,11,20,13.2579,13.554
2023-08-14 23:10:17,MSFT,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,JNJ,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,EURMXN,61,39,1.9,1.22,17,62,79,18.6214,22.3993
2023-08-14 23:10:17,XAUAUD,68,32,0.53,0.25,15,16,31,2903.9206,2946.6613
2023-08-14 23:10:17,XAUEUR,43,57,11.09,14.86,119,83,202,1744.1233,1771.2103
2023-08-14 23:10:17,WS30,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,NAS100,2,98,0.01,0.61,7,1,8,11425,11793.2857
2023-08-14 23:10:17,SGDHKD,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,US2000,100,0,2,0,0,2,2,1558.68,0
2023-08-14 23:10:17,FRA40,94,6,4,0.26,1,4,5,4755.5,4876
2023-08-14 23:10:17,GER30,0,100,0,0.1,1,0,1,0,12563
2023-08-14 23:10:17,AUDSEK,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,XAUJPY,78,22,3.4,0.96,13,29,42,276928.7931,277373.6154
2023-08-14 23:10:17,XAUCHF,5,95,0.17,3.42,35,6,41,1679.3167,1686.3614
2023-08-14 23:10:17,CHFSEK,100,0,0.1,0,0,10,10,7.579,0
2023-08-14 23:10:17,AUS200,50,50,1,1,1,1,2,5375,4875
2023-08-14 23:10:17,GBPMXN,99,1,0.83,0.01,1,5,6,21.5903,22.1303
2023-08-14 23:10:17,JPN225,0,100,0,1,1,0,1,0,23368
2023-08-14 23:10:17,XAGAUD,0,100,0,0.01,1,0,1,0,36.138
2023-08-14 23:10:17,NOKSEK,12,88,3.12,23.73,82,26,108,1.0287,1.0408
2023-08-14 23:10:17,USDX,0,100,0,0.3,1,0,1,0,94.324
2023-08-14 23:10:17,XAGEUR,7,93,0.05,0.64,19,1,20,20.663,21.8875
2023-08-14 23:10:17,EBAY,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,VIX,0,100,0,0.2,2,0,2,0,29.255
2023-08-14 23:10:17,CHFHKD,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,YHOO,0,100,0,8,1,0,1,0,38.05
2023-08-14 23:10:17,XPTUSD,0,100,0,2.1,12,0,12,0,1010.6283
2023-08-14 23:10:17,GBPHKD,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,XPDUSD,0,100,0,0.17,11,0,11,0,1626.5009
2023-08-14 23:10:17,CADHKD,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,USDCNH,72,28,9.95,3.82,46,59,105,6.953,7.2353
2023-08-14 23:10:17,AUDHKD,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,NZDHKD,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,AAPL,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,PFE,0,100,0,0.5,1,0,1,0,29.7
2023-08-14 23:10:17,FB,0,100,0,0.5,1,0,1,0,119.44
2023-08-14 23:10:17,IT40,100,0,4,0,0,1,1,18825.3,0
2023-08-14 23:10:17,GS,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,NKE,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,BA,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,CVX,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,GOOG,0,100,0,1,1,0,1,0,679.28
2023-08-14 23:10:17,XTIUSD,0,100,0,3,3,0,3,0,68.8433
2023-08-14 23:10:17,BTCUSD,25,75,94.33,284.24,3024,551,3575,28923.3194,41680.871
2023-08-14 23:10:17,XBRUSD,0,100,0,0.03,3,0,3,0,72.5633
2023-08-14 23:10:17,US30.D,100,0,1,0,0,1,1,27727,0
2023-08-14 23:10:17,BTCEUR,0,100,0,0.08,7,0,7,0,54368.0629
2023-08-14 23:10:17,LTCBTC,0,100,0,2,2,0,2,0,0
2023-08-14 23:10:17,LTCUSD,1,99,22.7,1704.65,1631,28,1659,91.8257,204.0969
2023-08-14 23:10:17,TWTR,0,100,0,1,1,0,1,0,16.61
2023-08-14 23:10:17,HK50,100,0,0.1,0,0,1,1,23711,0
2023-08-14 23:10:17,GOPRO,0,100,0,0.01,1,0,1,0,10.91
2023-08-14 23:10:17,XNGUSD,100,0,0.02,0,0,1,1,2.77,0
2023-08-14 23:10:17,APPL,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,DXU5,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,DXZ5,0,100,0,2,2,0,2,0,99.35
2023-08-14 23:10:17,OGZD,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,CN50,33,67,0.2,0.4,4,1,5,15071.4,15240.15
2023-08-14 23:10:17,BTCJPY,100,0,0.79,0,0,8,8,4170807,0
2023-08-14 23:10:17,ETHUSD,19,81,131.97,567.79,1899,344,2243,1619.9809,2941.9418
2023-08-14 23:10:17,DSHUSD,67,33,0.02,0.01,1,2,3,31.05,32.08
2023-08-14 23:10:17,DASH,100,0,2.9,0,0,7,7,129.0229,0
2023-08-14 23:10:17,BTCGBP,50,50,0.01,0.01,1,1,2,22665.11,22879.65
2023-08-14 23:10:17,XRPUSD,9,91,15.35,151.81,248,71,319,0.4773,0.5802
2023-08-14 23:10:17,BCHUSD,1,99,2.07,142.24,104,7,111,165.5371,638.2704
2023-08-14 23:10:17,ZECUSD,0,100,0,1,3,0,3,0,35.8633
2023-08-14 23:10:17,XMRUSD,14,86,0.01,0.06,4,1,5,157.93,161.4225
2023-08-14 23:10:17,NEOUSD,0,100,0,11.5,10,0,10,0,9.803
2023-08-14 23:10:17,OMGUSD,0,100,0,0.01,1,0,1,0,0.76
2023-08-14 23:10:17,RIPPLE,100,0,0.1,0,0,1,1,0.27,0
2023-08-14 23:10:17,EOSUSD,0,100,0,7.98,20,0,20,0,1.77
2023-08-14 23:10:17,XLMUSD,74,26,23.97,8.57,20,4,24,0.14,0.176
2023-08-14 23:10:17,TRXUSD,0,100,0,0.02,1,0,1,0,0.08
2023-08-14 23:10:17,ADAUSD,19,81,5.85,25.29,57,12,69,0.285,0.8539
2023-08-14 23:10:17,XTZUSD,100,0,0.1,0,0,1,1,1,0
2023-08-14 23:10:17,BATUSD,0,100,0,0.75,6,0,6,0,0
2023-08-14 23:10:17,FTMUSD,0,100,0,0.01,1,0,1,0,0
2023-08-14 23:10:17,FETUSD,0,100,0,0.05,5,0,5,0,0
2023-08-14 23:10:17,SCI25,0,100,0,0.2,2,0,2,0,303.25
2023-08-14 23:10:17,CNI30,100,0,0.2,0,0,2,2,1212.3,0
2023-08-14 23:10:17,BIO30,0,100,0,0.1,1,0,1,0,1346.6
2023-08-14 23:10:17,LAT30,0,100,0,0.1,1,0,1,0,563.1
2023-08-14 23:10:17,JPYX,100,0,1,0,0,1,1,997.5,0
2023-08-14 23:10:17,MKRUSD,0,100,0,0.01,1,0,1,0,1289
2023-08-14 23:10:17,DOTUSD,17,83,2.87,13.57,29,5,34,8.0012,22.7246
2023-08-14 23:10:17,UNIUSD,0,100,0,15,3,0,3,0,5.3333
2023-08-14 23:10:17,ICPUSD,100,0,0.3,0,0,1,1,4,0
2023-08-14 23:10:17,SOLUSD,27,73,21.2,56.33,80,19,99,22.3158,71.3375
2023-08-14 23:10:17,SNXUSD,0,100,0,0.1,1,0,1,0,3
2023-08-14 23:10:17,FILUSD,0,100,0,0.01,1,0,1,0,5
2023-08-14 23:10:17,AXSUSD,0,100,0,0.02,1,0,1,0,6
2023-08-14 23:10:17,ZILUSD,100,0,0.34,0,0,1,1,0,0
2023-08-14 23:10:17,GRTUSD,0,100,0,0.01,1,0,1,0,0
